"set","n","result","instance","D","runtime","seed"
"GBRL",1000,9,"1000_r0.05_0_geom_9.gin",3,11.1258,1505006128369336576
"GBRL",1000,5,"1000_r0.05_0_geom_9.gin",4,8.7107,1505006141287693568
"GBRL",1000,4,"1000_r0.05_0_geom_9.gin",5,8.7459,1505006151786190848
"GBRL",1000,3,"1000_r0.05_0_geom_9.gin",6,8.4014,1505006162769820416
"GBRL",1000,2,"1000_r0.05_0_geom_9.gin",7,7.1042,1505006173245610752
"GBRL",1000,1,"1000_r0.05_0_geom_9.gin",8,5.8505,1505006182392060416
"GBRL",1000,1,"1000_r0.05_0_geom_9.gin",9,6.4453,1505006190273696768
"GBRL",1000,1,"1000_r0.05_0_geom_9.gin",10,6.4778,1505006198902491136
"GBRL",1000,18,"1000_r0.05_0_geom_6.gin",1,305.9709,1505006207482626304
"GBRL",1000,7,"1000_r0.05_0_geom_6.gin",2,36.0709,1505006515404093952
"GBRL",1000,5,"1000_r0.05_0_geom_6.gin",3,9.7968,1505006553340716032
"GBRL",1000,4,"1000_r0.05_0_geom_6.gin",4,8.3149,1505006565356478976
"GBRL",1000,3,"1000_r0.05_0_geom_6.gin",5,7.7428,1505006575709059840
"GBRL",1000,2,"1000_r0.05_0_geom_6.gin",6,7.6122,1505006585482368768
"GBRL",1000,1,"1000_r0.05_0_geom_6.gin",7,6.7087,1505006595334269440
"GBRL",1000,1,"1000_r0.05_0_geom_6.gin",8,6.0982,1505006604286410496
"GBRL",1000,1,"1000_r0.05_0_geom_6.gin",9,6.5503,1505006612428057344
"GBRL",1000,1,"1000_r0.05_0_geom_6.gin",10,6.1171,1505006621024316160
"GBRL",1000,963,"1000_r0.065_0_geom_6.gin",1,362.144,1505006629178444288
"GBRL",1000,875,"1000_r0.065_0_geom_6.gin",2,359.5659,1505006993395710208
"GBRL",1000,820,"1000_r0.065_0_geom_6.gin",3,359.7526,1505007354743634176
"GBRL",1000,6,"1000_r0.065_0_geom_6.gin",4,77.4168,1505007716285980160
"GBRL",1000,2,"1000_r0.065_0_geom_6.gin",5,41.3793,1505007795730166272
"GBRL",1000,1,"1000_r0.065_0_geom_6.gin",6,7.4801,1505007838984926464
"GBRL",1000,1,"1000_r0.065_0_geom_6.gin",7,7.7066,1505007848342905600
"GBRL",1000,1,"1000_r0.065_0_geom_6.gin",8,7.5285,1505007858286550784
"GBRL",1000,1,"1000_r0.065_0_geom_6.gin",9,7.4842,1505007867852765952
"GBRL",1000,1,"1000_r0.065_0_geom_6.gin",10,7.8375,1505007877381823232
"GBRL",1000,790,"1000_r0.058_0_geom_2.gin",1,358.0682,1505007887255851264
"GBRL",1000,906,"1000_r0.058_0_geom_2.gin",2,359.6448,1505008247368774656
"GBRL",1000,20,"1000_r0.058_0_geom_2.gin",3,359.2734,1505008608816014592
"GBRL",1000,16,"1000_r0.058_0_geom_2.gin",4,70.9715,1505008969940880896
"GBRL",1000,13,"1000_r0.058_0_geom_2.gin",5,63.3216,1505009042717548032
"GBRL",1000,11,"1000_r0.058_0_geom_2.gin",6,43.8269,1505009107825545728
"GBRL",1000,8,"1000_r0.058_0_geom_2.gin",7,19.8145,1505009153688807936
"GBRL",1000,7,"1000_r0.058_0_geom_2.gin",8,12.1646,1505009175294629888
"GBRL",1000,6,"1000_r0.058_0_geom_2.gin",9,10.6631,1505009189247022592
"GBRL",1000,5,"1000_r0.058_0_geom_2.gin",10,10.595,1505009201968219904
"GBRL",500,26,"500_r0.083_0_geom_7.gin",1,32.0113,1505009213045415168
"GBRL",500,8,"500_r0.083_0_geom_7.gin",2,21.0869,1505009245304214272
"GBRL",500,6,"500_r0.083_0_geom_7.gin",3,15.9968,1505009266625478656
"GBRL",500,5,"500_r0.083_0_geom_7.gin",4,10.0593,1505009283088390912
"GBRL",500,4,"500_r0.083_0_geom_7.gin",5,6.1248,1505009293613601280
"GBRL",500,3,"500_r0.083_0_geom_7.gin",6,5.1493,1505009300040776192
"GBRL",500,2,"500_r0.083_0_geom_7.gin",7,3.8236,1505009305425824256
"GBRL",500,1,"500_r0.083_0_geom_7.gin",8,3.9141,1505009309500714752
"GBRL",500,1,"500_r0.083_0_geom_7.gin",9,3.4628,1505009313849783552
