"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_9.in",8,11.1907,1503714668312765440
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_9.in",9,11.2013,1503714681561586176
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_9.in",10,10.9903,1503714694792844544
"BBGRL",1000,991,"1000_ep0.0075_0_gilbert_6.in",1,62.9075,1503714707824137984
"BBGRL",1000,981,"1000_ep0.0075_0_gilbert_6.in",2,167.2401,1503714772525534464
"BBGRL",1000,974,"1000_ep0.0075_0_gilbert_6.in",3,167.8466,1503714941799601152
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",4,8.0069,1503715111434826240
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",5,8.0978,1503715121528791808
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",6,7.9866,1503715131869291008
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",7,7.5742,1503715141985429248
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",8,7.7045,1503715151796852480
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",9,7.3633,1503715161552755456
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_6.in",10,7.604,1503715170958140416
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",1,5.478,1503715180739635712
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",2,5.5646,1503715187995142144
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",3,6.1736,1503715195794380032
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",4,5.7595,1503715204014869760
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",5,6.3686,1503715211814334208
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",6,6.5674,1503715220401569024
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",7,6.3668,1503715229038096640
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",8,6.3378,1503715237505690368
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",9,6.692,1503715245877413120
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_4.in",10,6.225,1503715254379536640
"BBGRL",1000,996,"1000_ep0.0125_0_gilbert_7.in",1,49.5974,1503715262391657472
"BBGRL",1000,991,"1000_ep0.0125_0_gilbert_7.in",2,167.3343,1503715313873497344
"BBGRL",1000,986,"1000_ep0.0125_0_gilbert_7.in",3,167.1497,1503715483310279168
"BBGRL",1000,981,"1000_ep0.0125_0_gilbert_7.in",4,167.4567,1503715652457374976
"BBGRL",1000,975,"1000_ep0.0125_0_gilbert_7.in",5,167.4731,1503715821915762944
"BBGRL",1000,970,"1000_ep0.0125_0_gilbert_7.in",6,167.2893,1.503715991267e+18
"BBGRL",1000,966,"1000_ep0.0125_0_gilbert_7.in",7,167.9464,1503716160397169664
"BBGRL",1000,961,"1000_ep0.0125_0_gilbert_7.in",8,167.286,1503716330132419072
"BBGRL",1000,953,"1000_ep0.0125_0_gilbert_7.in",9,167.3789,1503716499319305728
"BBGRL",1000,947,"1000_ep0.0125_0_gilbert_7.in",10,167.4758,1503716668620813056
"BBGRL",1000,992,"1000_ep0.0075_0_gilbert_5.in",1,59.9075,1503716838080455936
"BBGRL",1000,985,"1000_ep0.0075_0_gilbert_5.in",2,167.1529,1503716900036673280
"BBGRL",1000,977,"1000_ep0.0075_0_gilbert_5.in",3,167.385,1503717068974258944
"BBGRL",1000,969,"1000_ep0.0075_0_gilbert_5.in",4,167.3284,1503717238226838784
"BBGRL",1000,962,"1000_ep0.0075_0_gilbert_5.in",5,167.3167,1503717407344540672
"BBGRL",1000,950,"1000_ep0.0075_0_gilbert_5.in",6,172.3217,1503717576553377024
"BBGRL",1000,3,"1000_ep0.0075_0_gilbert_5.in",7,57.225,1503717750910021120
"BBGRL",1000,2,"1000_ep0.0075_0_gilbert_5.in",8,20.3053,1503717810296878848
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_5.in",9,9.5436,1503717832383036160
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_5.in",10,9.33,1503717843961853184
"BBGRL",1000,990,"1000_ep0.0075_0_gilbert_8.in",1,56.3187,1503717855327954432
"BBGRL",1000,983,"1000_ep0.0075_0_gilbert_8.in",2,159.5378,1503717913494723584
"BBGRL",1000,974,"1000_ep0.0075_0_gilbert_8.in",3,167.1383,1.503718074812e+18
